id,EC
280,1.21.1.1
281,1.21.3.1
282,1.21.4.2
283,1.21.4.3
284,1.21.4.4
285,1.21.98.4
286,1.21.99.3
287,1.21.99.4
288,1.23.1.1
289,1.3.-.-
290,1.3.1.-
291,1.3.1.104
292,1.3.1.12
293,1.3.1.124
294,1.3.1.14
295,1.3.1.20
296,1.3.1.22
297,1.3.1.33
298,1.3.1.44
299,1.3.1.48
300,1.3.1.70
301,1.3.1.76
302,1.3.1.87
303,1.3.1.89
304,1.3.1.9
305,1.3.1.91
306,1.3.1.94
307,1.3.1.98
308,1.3.3.-
309,1.3.3.11
310,1.3.3.3
311,1.3.3.4
312,1.3.3.6
313,1.3.5.1
314,1.3.5.2
315,1.3.5.5
316,1.3.5.6
317,1.3.7.11
318,1.3.7.15
319,1.3.7.2
320,1.3.7.3
321,1.3.7.5
322,1.3.7.7
323,1.3.8.-
324,1.3.8.1
325,1.3.8.13
326,1.3.8.17
327,1.3.8.7
328,1.3.8.8
329,1.3.98.1
330,1.3.98.3
331,1.3.98.5
332,1.3.99.-
333,1.4.1.1
334,1.4.1.13
335,1.4.1.2
336,1.4.1.21
337,1.4.1.24
338,1.4.1.3
339,1.4.1.4
340,1.4.3.-
341,1.4.3.13
342,1.4.3.16
343,1.4.3.2
344,1.4.3.21
345,1.4.3.3
346,1.4.3.4
347,1.4.3.5
348,1.4.4.2
349,1.4.9.1
350,1.4.99.-
351,1.5.-.-
352,1.5.1.-
353,1.5.1.15
354,1.5.1.2
355,1.5.1.3
356,1.5.1.36
357,1.5.1.42
358,1.5.1.49
359,1.5.1.5
360,1.5.1.50
361,1.5.1.54
362,1.5.3.-
363,1.5.3.1
364,1.5.5.1
365,1.5.5.2
366,1.5.98.1
367,1.5.99.12
368,1.6.-.-
369,1.6.1.1
370,1.6.2.2
371,1.6.2.4
372,1.6.3.-
373,1.6.5.-
374,1.6.5.10
375,1.6.5.2
376,1.6.5.4
377,1.6.5.5
378,1.6.5.9
379,1.6.99.-
380,1.6.99.1
381,1.7.-.-
382,1.7.1.1
383,1.7.1.13
384,1.7.1.17
385,1.7.1.7
386,1.7.2.1
387,1.7.2.2
388,1.7.2.3
389,1.7.2.4
390,1.7.3.3
391,1.7.5.1
392,1.7.99.1
393,1.8.-.-
394,1.8.1.-
395,1.8.1.14
396,1.8.1.2
397,1.8.1.4
398,1.8.1.7
399,1.8.1.8
400,1.8.1.9
401,1.8.3.2
402,1.8.3.4
403,1.8.4.-
404,1.8.4.10
405,1.8.4.11
406,1.8.4.12
407,1.8.4.14
408,1.8.4.8
409,1.8.5.-
410,1.8.5.1
411,1.8.7.1
412,1.8.7.2
413,1.8.98.5
414,1.9.6.1
415,1.97.1.-
416,1.97.1.12
417,1.97.1.4
418,2.-.-.-
419,2.1.-.-
420,2.1.1.-
421,2.1.1.10
422,2.1.1.100
423,2.1.1.104
424,2.1.1.107
425,2.1.1.113
426,2.1.1.14
427,2.1.1.144
428,2.1.1.148
429,2.1.1.159
430,2.1.1.163
431,2.1.1.166
432,2.1.1.17
433,2.1.1.170
434,2.1.1.172
435,2.1.1.173
436,2.1.1.174
437,2.1.1.176
438,2.1.1.177
439,2.1.1.178
440,2.1.1.181
441,2.1.1.182
442,2.1.1.183
443,2.1.1.184
444,2.1.1.185
445,2.1.1.186
446,2.1.1.189
447,2.1.1.190
448,2.1.1.191
449,2.1.1.192
450,2.1.1.193
451,2.1.1.195
452,2.1.1.196
453,2.1.1.197
454,2.1.1.198
455,2.1.1.199
456,2.1.1.200
457,2.1.1.201
458,2.1.1.206
459,2.1.1.207
460,2.1.1.211
461,2.1.1.216
462,2.1.1.220
463,2.1.1.221
464,2.1.1.222
465,2.1.1.223
466,2.1.1.224
467,2.1.1.225
468,2.1.1.228
469,2.1.1.233
470,2.1.1.242
471,2.1.1.244
472,2.1.1.249
473,2.1.1.250
474,2.1.1.257
475,2.1.1.261
476,2.1.1.264
477,2.1.1.282
478,2.1.1.290
479,2.1.1.297
480,2.1.1.298
481,2.1.1.314
482,2.1.1.319
483,2.1.1.320
484,2.1.1.33
485,2.1.1.346
486,2.1.1.348
487,2.1.1.35
488,2.1.1.354
489,2.1.1.355
490,2.1.1.356
491,2.1.1.359
492,2.1.1.360
493,2.1.1.361
494,2.1.1.362
495,2.1.1.366
496,2.1.1.37
497,2.1.1.372
498,2.1.1.386
499,2.1.1.4
500,2.1.1.41
501,2.1.1.45
502,2.1.1.56
503,2.1.1.57
504,2.1.1.6
505,2.1.1.61
506,2.1.1.63
507,2.1.1.64
508,2.1.1.67
509,2.1.1.68
510,2.1.1.71
511,2.1.1.72
512,2.1.1.74
513,2.1.1.77
514,2.1.1.79
515,2.1.1.8
516,2.1.1.80
517,2.1.1.85
518,2.1.1.86
519,2.1.1.98
520,2.1.2.-
521,2.1.2.1
522,2.1.2.10
523,2.1.2.11
524,2.1.2.13
525,2.1.2.2
526,2.1.2.3
527,2.1.2.5
528,2.1.2.9
529,2.1.3.-
530,2.1.3.15
531,2.1.3.2
532,2.1.3.3
533,2.1.3.6
534,2.1.4.1
535,2.10.1.1
536,2.2.1.1
537,2.2.1.10
538,2.2.1.2
539,2.2.1.6
540,2.2.1.7
541,2.2.1.9
542,2.3.-.-
543,2.3.1.-
544,2.3.1.1
545,2.3.1.101
546,2.3.1.108
547,2.3.1.109
548,2.3.1.117
549,2.3.1.12
550,2.3.1.122
551,2.3.1.129
552,2.3.1.13
553,2.3.1.15
554,2.3.1.155
555,2.3.1.157
556,2.3.1.16
557,2.3.1.169
558,2.3.1.178
559,2.3.1.179
560,2.3.1.180
561,2.3.1.181
562,2.3.1.184
563,2.3.1.189
564,2.3.1.191
565,2.3.1.193
566,2.3.1.199
567,2.3.1.20
568,2.3.1.204
569,2.3.1.21
570,2.3.1.22
571,2.3.1.222
572,2.3.1.225
573,2.3.1.23
574,2.3.1.231
575,2.3.1.234
576,2.3.1.24
577,2.3.1.245
578,2.3.1.251
579,2.3.1.255
580,2.3.1.258
581,2.3.1.26
582,2.3.1.268
583,2.3.1.269
584,2.3.1.274
585,2.3.1.275
586,2.3.1.28
587,2.3.1.282
588,2.3.1.286
589,2.3.1.30
590,2.3.1.301
591,2.3.1.31
592,2.3.1.35
593,2.3.1.37
594,2.3.1.39
595,2.3.1.4
596,2.3.1.40
597,2.3.1.41
598,2.3.1.43
599,2.3.1.46
600,2.3.1.47
601,2.3.1.48
602,2.3.1.5
603,2.3.1.50
604,2.3.1.51
605,2.3.1.54
606,2.3.1.57
607,2.3.1.61
608,2.3.1.67
609,2.3.1.74
610,2.3.1.75
611,2.3.1.76
612,2.3.1.8
613,2.3.1.81
614,2.3.1.82
615,2.3.1.87
